"Arbeidsverleden bevolking afgelopen 4 jaar; regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Leeftijd: Totaal"
""
"Perioden";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*";"2024*"
"Onderwerp";"Bevolking (15 jaar en ouder)";"Werkzaam ultimo|Totaal";"Werkzaam ultimo|Tijd werkzaam|Afgelopen 4 jaar voortdurend werkzaam";"Werkzaam ultimo|Tijd werkzaam|Meer dan 3 jaar  werkzaam";"Werkzaam ultimo|Tijd werkzaam|Tussen de 2 en 3 jaar werkzaam";"Werkzaam ultimo|Tijd werkzaam|Tussen de 1 en 2 jaar werkzaam";"Werkzaam ultimo|Tijd werkzaam|Tussen 1 mnd en 1 jaar werkzaam      ";"Niet werkzaam ultimo|Totaal";"Niet werkzaam ultimo|Periode zonder werk tot ultimo|1 maand                                 ";"Niet werkzaam ultimo|Periode zonder werk tot ultimo|2 maanden                               ";"Niet werkzaam ultimo|Periode zonder werk tot ultimo|3 tot 6 maanden                         ";"Niet werkzaam ultimo|Periode zonder werk tot ultimo|6 maanden tot 1 jaar";"Niet werkzaam ultimo|Periode zonder werk tot ultimo|1 tot 2 jaar";"Niet werkzaam ultimo|Periode zonder werk tot ultimo|2 tot 3 jaar ";"Niet werkzaam ultimo|Periode zonder werk tot ultimo|3 tot 4 jaar";"Niet werkzaam ultimo|Periode zonder werk tot ultimo|4 jaar en langer"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"15346000";"9717700";"6823400";"1546900";"685900";"409800";"251600";"5628300";"111200";"91900";"235800";"230100";"386200";"242400";"205800";"4124900"
"Groningen (PV)";"523500";"310400";"208200";"52000";"25100";"15300";"9800";"213100";"4100";"3400";"9700";"8600";"14100";"9000";"7400";"156900"
"Fryslân (PV)";"566000";"347500";"252100";"49400";"22700";"14000";"9200";"218500";"4000";"3500";"8800";"7500";"14200";"9300";"7800";"163400"
"Drenthe (PV)";"434600";"259100";"191400";"35000";"15700";"10300";"6700";"175400";"2700";"2400";"6000";"5900";"10500";"7300";"6700";"133800"
"Overijssel (PV)";"1011500";"651000";"471500";"94500";"42100";"26200";"16800";"360500";"6900";"5600";"14800";"13800";"23700";"15600";"13100";"266900"
"Flevoland (PV)";"375200";"251800";"173600";"41900";"18300";"11000";"6900";"123400";"3000";"2500";"6100";"6100";"10100";"6000";"5000";"84700"
"Gelderland (PV)";"1838100";"1170200";"844000";"173000";"76600";"47400";"29100";"667900";"12500";"10500";"27600";"25700";"44700";"29000";"25200";"492700"
"Utrecht (PV)";"1180200";"788000";"546900";"130400";"57100";"33400";"20200";"392200";"8900";"7100";"18700";"17600";"28100";"17200";"14400";"280200"
"Noord-Holland (PV)";"2551600";"1640600";"1102200";"297900";"127300";"71300";"41900";"911000";"19900";"16500";"41500";"40700";"67100";"39300";"32300";"653700"
"Zuid-Holland (PV)";"3259600";"2055400";"1412200";"333100";"156600";"94000";"59600";"1204200";"24900";"20400";"52200";"52200";"85900";"52100";"43200";"873300"
"Zeeland (PV)";"335500";"203800";"152200";"28000";"12200";"7300";"4100";"131700";"2300";"1900";"4600";"4100";"8100";"5400";"5000";"100200"
"Noord-Brabant (PV)";"2278100";"1465600";"1055800";"225100";"94100";"56900";"33600";"812600";"15100";"12600";"31500";"32800";"54100";"34900";"30400";"601200"
"Limburg (PV)";"992100";"574400";"413400";"86700";"38000";"22700";"13600";"417800";"6800";"5500";"14200";"15000";"25600";"17500";"15500";"317800"
"Bron: CBS"
