"Bevolking; hoogstbehaald onderwijsniveau en regio"
"Geslacht: Totaal mannen en vrouwen"
"Leeftijd: 15 tot 75 jaar"
"Perioden: 2024*"
"";"Onderwerp"
"";"Bevolking";"Onderwijsniveau 3 categorieën|1 Basisonderwijs, vmbo, mbo1";"Onderwijsniveau 3 categorieën|2 Havo, vwo, mbo2-4";"Onderwijsniveau 3 categorieën|3 Hbo, wo";"Onderwijsniveau 5 categorieën|11 Basisonderwijs";"Onderwijsniveau 5 categorieën|12 Vmbo, havo-, vwo-onderbouw, mbo1";"Onderwijsniveau 5 categorieën|21 Havo, vwo, mbo2-4";"Onderwijsniveau 5 categorieën|31 Hbo-, wo-bachelor";"Onderwijsniveau 5 categorieën|32 Hbo-, wo-master, doctor";"Onderwijsniveau 8 categorieën|111 Basisonderwijs";"Onderwijsniveau 8 categorieën|121 Vmbo-b/k, mbo1";"Onderwijsniveau 8 categorieën|122 Vmbo-g/t, havo-, vwo-onderbouw";"Onderwijsniveau 8 categorieën|211 Mbo2 en mbo3";"Onderwijsniveau 8 categorieën|212 Mbo4";"Onderwijsniveau 8 categorieën|213 Havo, vwo";"Onderwijsniveau 8 categorieën|311 Hbo-, wo-bachelor";"Onderwijsniveau 8 categorieën|321 Hbo-, wo-master, doctor"
"Regio's";"aantal";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"Nederland";"13569200";"25,9";"40,8";"33,3";"8,8";"17,2";"40,8";"20,2";"13,1";"8,8";"10,1";"7,1";"15,4";"15,9";"9,4";"20,2";"13,1"
"Noord-Nederland (LD)";"1329200";"25,6";"45,9";"28,5";"7,8";"17,7";"45,9";"19,3";"9,2";"7,8";"11,1";"6,7";"18,0";"19,1";"8,8";"19,3";"9,2"
"Oost-Nederland (LD)";"2853000";"26,2";"43,0";"30,8";"8,4";"17,8";"43,0";"20,2";"10,6";"8,4";"10,7";"7,1";"16,6";"18,0";"8,4";"20,2";"10,6"
"West-Nederland (LD)";"6527200";"25,3";"38,3";"36,4";"8,9";"16,4";"38,3";"20,5";"15,9";"8,9";"9,2";"7,2";"14,1";"14,0";"10,2";"20,5";"15,9"
"Zuid-Nederland (LD)";"2859700";"27,2";"41,7";"31,1";"9,2";"18,0";"41,7";"20,1";"11,0";"9,2";"11,0";"7,0";"16,2";"16,7";"8,8";"20,1";"11,0"
"Groningen (PV)";"464200";"23,5";"44,7";"31,9";"7,4";"16,0";"44,7";"19,9";"11,9";"7,4";"9,9";"6,2";"16,3";"16,7";"11,7";"19,9";"11,9"
"Fryslân (PV)";"491200";"26,6";"46,7";"26,6";"7,9";"18,7";"46,7";"19,4";"7,3";"7,9";"11,6";"7,1";"18,7";"20,4";"7,7";"19,4";"7,3"
"Drenthe (PV)";"373900";"26,8";"46,3";"26,9";"8,3";"18,5";"46,3";"18,6";"8,3";"8,3";"11,7";"6,8";"19,2";"20,4";"6,8";"18,6";"8,3"
"Overijssel (PV)";"893100";"26,0";"44,4";"29,6";"8,4";"17,7";"44,4";"20,3";"9,3";"8,4";"10,7";"6,9";"17,4";"19,2";"7,8";"20,3";"9,3"
"Flevoland (PV)";"345100";"27,6";"44,5";"27,9";"9,1";"18,6";"44,5";"19,5";"8,3";"9,1";"10,9";"7,6";"17,4";"18,4";"8,7";"19,5";"8,3"
"Gelderland (PV)";"1614900";"26,0";"41,9";"32,1";"8,3";"17,7";"41,9";"20,2";"11,8";"8,3";"10,6";"7,1";"16,0";"17,2";"8,7";"20,2";"11,8"
"Utrecht (PV)";"1057200";"22,3";"35,5";"42,2";"7,5";"14,8";"35,5";"22,1";"20,1";"7,5";"7,8";"7,0";"12,1";"13,3";"10,1";"22,1";"20,1"
"Noord-Holland (PV)";"2278300";"23,8";"37,1";"39,2";"8,2";"15,5";"37,1";"21,6";"17,6";"8,2";"8,5";"7,0";"13,1";"13,3";"10,7";"21,6";"17,6"
"Zuid-Holland (PV)";"2905500";"27,2";"39,5";"33,3";"9,9";"17,3";"39,5";"19,4";"14,0";"9,9";"9,8";"7,4";"14,9";"14,5";"10,2";"19,4";"14,0"
"Zeeland (PV)";"286200";"28,8";"46,4";"24,9";"8,8";"20,0";"46,4";"17,7";"7,2";"8,8";"12,7";"7,2";"20,9";"17,4";"8,1";"17,7";"7,2"
"Noord-Brabant (PV)";"2004100";"26,5";"41,2";"32,2";"8,8";"17,7";"41,2";"20,7";"11,5";"8,8";"10,7";"7,0";"15,9";"16,7";"8,7";"20,7";"11,5"
"Limburg (PV)";"855600";"28,8";"42,7";"28,5";"10,1";"18,7";"42,7";"18,9";"9,6";"10,1";"11,7";"7,0";"17,0";"16,8";"8,9";"18,9";"9,6"
"'s-Gravenhage (gemeente)";"440600";"29,7";"33,2";"37,1";"13,4";"16,3";"33,2";"19,0";"18,1";"13,4";"8,9";"7,4";"11,5";"10,1";"11,6";"19,0";"18,1"
"Groningen (gemeente)";"199600";"15,7";"39,5";"44,8";"5,2";"10,5";"39,5";"25,1";"19,8";"5,2";"5,9";"4,6";"8,7";"11,9";"18,9";"25,1";"19,8"
"Utrecht (gemeente)";"299300";"18,0";"26,8";"55,2";"7,5";"10,5";"26,8";"24,0";"31,2";"7,5";"5,3";"5,2";"7,2";"7,8";"11,8";"24,0";"31,2"
"Bron: CBS"
